Row ID,#water_source,#water_tech,Water Source Type
278577,,Deep borehole,Borehole or tubewell
274953,,Shallow well,Unprotected dug well
260061,,Rainwater Harvest Tank,Rainwater
181743,,DUG WELL,Unprotected dug well
160874,Others (eg Public tap/standpipe),,Public tap or standpipe
276273,,Shallow well,Unprotected dug well
309228,,Yard tap for public use,Piped into public tap or basin
151043,Tube Well,INDUS,Borehole or tubewell
217837,,Protected spring,Protected spring
31328,Spring,Mono Communal standpipe,Protected spring
79056,Protected Well (no pump),Bucket,Protected dug well
275621,,Protected spring,Protected spring
165634,Manual pump on hand-dug well,Afridev,Protected dug well
309813,,Rainwater Harvest Tank,Rainwater
160732,Boreholes,Manual (hand pump),Borehole or tubewell
3616,,DUG WELL,Unprotected dug well
142872,Stand Post,,Public tap or standpipe
192844,,DUG WELL,Unprotected dug well
195419,,DUG WELL,Unprotected dug well
201426,,Hand Dug Well,Unprotected dug well
324991,,Yard tap for public use,Piped into public tap or basin
240751,,Deep borehole,Borehole or tubewell
54125,Hand-drilled tube well,Afridev Hand pump,Borehole or tubewell
184301,,DUG WELL,Unprotected dug well
1158,,DUG WELL,Unprotected dug well
96373,Pump on hand-dug well,India Mark,Protected dug well
211639,,Deep borehole,Borehole or tubewell
219749,,Protected spring,Protected spring
349575,,Gravity Fed System with Pump,Null
255425,,Protected spring,Protected spring
111505,Stand Post,,Public tap or standpipe
97288,Protected Well (no pump),Bucket,Protected dug well
13869,,DUG WELL,Unprotected dug well
213951,,Shallow well,Unprotected dug well
390220,Borehole,IMK II,Borehole or tubewell
261625,,Deep borehole,Borehole or tubewell
309972,,Protected spring,Protected spring
163185,Manual pump on hand-dug well,India Mark,Protected dug well
28803,River/Lake,Gravity Communal standpipe multiple,Surface water
212262,,Public Stand Post,Public tap or standpipe
27840,Machine-drilled borehole,Nira/Tanira Hand pump,Borehole or tubewell
146013,Dug Well,KABUL,Unprotected dug well
60729,,Hand Dug Well,Unprotected dug well
223913,,Shallow well,Unprotected dug well
62230,,Non-Mechanized Borehole,Borehole or tubewell
219290,,Deep borehole,Borehole or tubewell
17347,Shallow well,Nira/Tanira Hand pump,Protected dug well
325820,mechanic borehole,Aquadev,Borehole or tubewell
143230,Stand Post,,Public tap or standpipe
271314,,Rainwater Harvest Tank,Rainwater
65695,Protected Well (no pump),Bucket,Protected dug well
77320,Standpipe or Tapstand,,Public tap or standpipe
389815,Borehole,,Borehole or tubewell
192040,,TUBE WELL,Borehole or tubewell
134705,Tube Well,,Borehole or tubewell
350256,,Gravity Fed System (MAG),Null
281437,,Kiosk,Public tap or standpipe
294055,,Rainwater Harvest Tank,Rainwater
314078,,Protected spring,Protected spring
164645,Manual pump on hand-dug well,Afridev,Protected dug well
224314,,Deep borehole,Borehole or tubewell
223005,,Rainwater Harvest Tank,Rainwater
307792,,Public Stand Post,Public tap or standpipe
16961,Machine-drilled borehole,None Communal standpipe multiple,Borehole or tubewell
1708,,DUG WELL,Unprotected dug well
52591,Spring,Gravity Communal stand pipe,Protected spring
206683,,Protected spring,Protected spring
201044,,Spot Spring,Unprotected spring
6906,,TUBE WELL,Borehole or tubewell
241257,,Public Stand Post,Public tap or standpipe
272524,,Protected spring,Protected spring
134194,Tube Well,INDUS,Borehole or tubewell
332629,gravity fed standpipe,no pump,Piped into public tap or basin
65169,Standpipe or Tapstand,,Public tap or standpipe
61133,,Non-Mechanized Borehole,Borehole or tubewell
85664,Pump on hand-dug well,India Mark,Protected dug well
226536,,Deep borehole,Borehole or tubewell
82384,Pump on borehole,Consallen,Borehole or tubewell
244752,,Protected spring,Protected spring
228974,,Yard tap for public use,Piped into public tap or basin
253464,,Protected spring,Protected spring
100748,Protected Well (no pump),,Protected dug well
225523,,Deep borehole,Borehole or tubewell
13848,,DUG WELL,Unprotected dug well
113477,Tube Well,KABUL,Borehole or tubewell
290424,,Protected spring,Protected spring
209906,,Deep borehole,Borehole or tubewell
274281,,Shallow well,Unprotected dug well
64655,Pump on hand-dug well,Kardia,Protected dug well
